🇨🇳JJ斗地主频道,#genre#
JJ斗地主,http://tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.flv?wsAuth=fd695c444eeee99cc6122ed396c805ba&token=cpn-androidmpro-0-488743-df8b1830ef2e6ce156759645768df95bf77749da61fcc901&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
JJ斗地主,http://tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.flv?wsAuth=af68f33dc536a0fb76a514b2dcce8f6b&token=cpn-androidmpro-0-488743-df8b1830ef2e6ce1e55031a221b1d3b7dfd1c7e0d6d57314&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
JJ斗地主,http://120.221.179.108:80/tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.flv?wsAuth=af68f33dc536a0fb76a514b2dcce8f6b&token=cpn-androidmpro-0-488743-df8b1830ef2e6ce1e55031a221b1d3b7dfd1c7e0d6d57314&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2&TxLiveCode=cold_stream&svr_type=live_oc&tencent_test_client_ip=120.208.55.184&dispatch_from=OC_MGR120.222.239.79&utime=1680617557817
JJ斗地主,http://tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.m3u8
JJ斗地主,http://www.xuran1983.cn:888/douyu.php?id=488743
JJ斗地主,http://openhls-tct.douyucdn2.cn:80/dyliveflv1a/488743rAHScWyyII_2000.m3u8
 BiliBiliJJ斗地主,http://dns.yiandrive.com:10472/bilibili/22021983
斗鱼JJ斗地主,http://dns.yiandrive.com:10472/douyu/488743
🇨🇳常看经典频道,#genre#
庆余年,http://cfss.cc/cdn/hy/11352960.flv
庆余年,http://cfss.cc/cdn/hy/11352960.m3u8
庆余年,http://cfss.cc/cdn/hy/11352960.m3u8
庆余年,http://43.138.170.29:35455/douyu/11880121
庆余年,http://159.75.85.63:35455/huya/11352960?cdn=txcdn
庆余年,https://live.metshop.top/huya/11352960
庆余年,http://120.77.28.4:8648/huya.php?id=11352960
知否知否,http://zby.xjqxz.top/zfzf/live.m3u8
